TRANSACTION_ID,DATE,QUARTER,REGION,PRODUCT_CATEGORY,REVENUE,MATERIAL_COST,SHIPPING_COST
100001,15-01-2025,Q1,APAC,Enterprise Cloud Software,12796.91,1956.72,632.91
100002,16-01-2025,Q1,North America,Edge Hardware Platforms,16674.17,6193.28,20261.28
100003,17-01-2025,Q1,North America,Edge Hardware Platforms,28771.05,10359.37,3792.4
100004,18-01-2025,Q1,Europe,Edge Hardware Platforms,10141.33,3669.59,1222.99
100005,19-01-2025,Q1,North America,Enterprise Cloud Software,14737.56,2092.49,676.54
100006,20-01-2025,Q2,Europe,Edge Hardware Platforms,29664.62,11786.97,3816.01
100007,21-01-2025,Q2,Europe,Edge Hardware Platforms,10265.3,4469.27,1247.43
100008,22-01-2025,Q2,North America,Enterprise Cloud Software,7308.94,1039.56,378.84
100009,23-01-2025,Q2,Europe,SaaS Subscriptions,3040.19,297.4,56.94
100010,24-01-2025,Q3,APAC,Edge Hardware Platforms,14158.83,5740.22,1539.79
100011,25-01-2025,Q3,APAC,Edge Hardware Platforms,17903,7772.28,2246.01
100012,26-01-2025,Q3,Europe,Edge Hardware Platforms,29223.44,12494.85,3680.27
100013,27-01-2025,Q3,Europe,Enterprise Cloud Software,29305.11,11972.98,3359.07
100014,28-01-2025,Q3,North America,Enterprise Cloud Software,5156.36,761.6,252.4
100015,29-01-2025,Q3,North America,Enterprise Cloud Software,6988.42,1092.57,369.7
100016,30-01-2025,Q3,Europe,SaaS Subscriptions,5906.46,639.66,126.4
100017,31-01-2025,Q3,Europe,Enterprise Cloud Software,8708.18,1350.34,449.86
100018,01-02-2025,Q3,Europe,Enterprise Cloud Software,10612.43,1554.59,580.68
100019,02-02-2025,Q3,APAC,Edge Hardware Platforms,14719.7,5600.63,1604.01
100020,03-02-2025,Q3,Europe,Enterprise Cloud Software,9393.37,1324.95,506.84
100021,04-02-2025,Q4,Europe,Edge Hardware Platforms,23910.32,8874.23,2929.16
100022,05-02-2025,Q4,Europe,Enterprise Cloud Software,14428.54,2207.08,749.53
100023,05-02-2025,Q4,APAC,Edge Hardware Platforms,15912.67,5862.86,1892.92
100024,06-02-2025,Q4,APAC,Edge Hardware Platforms,26148.8,11288.1,3023.64
