transaction_id,date,region,product_category,revenue,material_cost,shipping_cost
100001,1/1/2024,APAC,Enterprise Cloud Software,12796.91,1956.72,632.91
100002,1/1/2024,North America,Edge Hardware Platforms,16674.17,6193.28,2061.28
100003,1/1/2024,North America,Edge Hardware Platforms,28771.05,10359.37,3792.4
100004,1/1/2024,Europe,Edge Hardware Platforms,10141.33,3669.59,1222.99
100005,1/1/2024,North America,Enterprise Cloud Software,14737.56,2092.49,676.54
100006,1/1/2024,Europe,Edge Hardware Platforms,29664.62,11786.97,3816.01
100007,1/1/2024,Europe,Edge Hardware Platforms,10265.3,4469.27,1247.43
100008,1/1/2024,North America,Enterprise Cloud Software,7308.94,1039.56,378.84
100009,1/1/2024,Europe,SaaS Subscriptions,3040.19,297.4,56.94
100010,1/1/2024,APAC,Edge Hardware Platforms,14158.83,5740.22,1539.79
100011,1/1/2024,APAC,Edge Hardware Platforms,17903,7772.28,2246.01
100012,1/2/2024,Europe,Edge Hardware Platforms,29223.44,12494.85,3680.27
100013,1/2/2024,Europe,Edge Hardware Platforms,29305.11,11972.98,3359.07
100014,1/2/2024,North America,Enterprise Cloud Software,5156.36,761.6,252.4
100015,1/2/2024,North America,Enterprise Cloud Software,6988.42,1092.57,369.7
100016,1/2/2024,Europe,SaaS Subscriptions,5906.46,639.66,126.4
100017,1/2/2024,Europe,Enterprise Cloud Software,8708.18,1350.34,449.86
100018,1/2/2024,Europe,Enterprise Cloud Software,10612.43,1554.59,580.68
100019,1/2/2024,APAC,Edge Hardware Platforms,14719.7,5600.63,1604.01
100020,1/2/2024,Europe,Enterprise Cloud Software,9393.37,1324.95,506.84
100021,1/2/2024,Europe,Edge Hardware Platforms,23910.32,8874.23,2929.16
100022,1/2/2024,Europe,Enterprise Cloud Software,14428.54,2207.08,749.53
100023,1/2/2024,APAC,Edge Hardware Platforms,15912.67,5862.86,1892.92
100024,1/3/2024,APAC,Edge Hardware Platforms,26148.8,11288.1,3023.64
100025,1/3/2024,North America,Enterprise Cloud Software,9271.08,1479.11,497
100026,1/3/2024,North America,Edge Hardware Platforms,18348.22,6931.38,2034.39
100027,1/3/2024,North America,SaaS Subscriptions,3939.22,395.4,81.98
100028,1/3/2024,North America,SaaS Subscriptions,7774.68,738.87,155.41
100029,1/3/2024,North America,Enterprise Cloud Software,5368.87,822.98,268.59
100030,1/3/2024,North America,Enterprise Cloud Software,14082.66,2002.37,654.12
100031,1/3/2024,Europe,SaaS Subscriptions,3452.33,357.12,72.66
100032,1/4/2024,North America,SaaS Subscriptions,4821.8,528.8,94.48
100033,1/4/2024,APAC,Edge Hardware Platforms,13014.35,5214.28,1622.88
100034,1/4/2024,APAC,Edge Hardware Platforms,14404.82,6005.25,1835.58
100035,1/4/2024,North America,Enterprise Cloud Software,14405.23,2116.52,722.82
100036,1/4/2024,APAC,Edge Hardware Platforms,24704.32,9306.75,2989.09
100037,1/4/2024,Europe,Enterprise Cloud Software,6749.55,1110.07,338.6
100038,1/4/2024,North America,SaaS Subscriptions,7792.52,788.34,167.78
100039,1/4/2024,North America,Enterprise Cloud Software,12003.58,1925.37,642.95
100040,1/4/2024,Europe,SaaS Subscriptions,7105.57,772.47,150.22
100041,1/4/2024,Europe,Edge Hardware Platforms,17445.66,7592.54,2291.8
100042,1/4/2024,North America,Edge Hardware Platforms,19712.28,7803.58,2599.4
100043,1/4/2024,North America,Enterprise Cloud Software,9938.94,1395.08,483.68
100044,1/4/2024,Europe,Edge Hardware Platforms,16161.22,6519.49,1942.77
100045,1/4/2024,Europe,Enterprise Cloud Software,10898.71,1791.39,543.49
100046,1/4/2024,APAC,Edge Hardware Platforms,17001.57,6997.99,2109.12
100047,1/5/2024,North America,Edge Hardware Platforms,15615.45,5651.94,1928.37
100048,1/5/2024,North America,SaaS Subscriptions,7723.57,836.44,150.46
100049,1/5/2024,North America,SaaS Subscriptions,4569.1,499.55,99.86
100050,1/5/2024,APAC,Enterprise Cloud Software,8850.98,1420.88,426.34
100051,1/5/2024,North America,Edge Hardware Platforms,28723.1,11939.69,3495.07
100052,1/6/2024,North America,Edge Hardware Platforms,17172.94,6531.44,1976.38
100053,1/6/2024,North America,SaaS Subscriptions,2819.73,293.75,56.99
100054,1/6/2024,North America,Edge Hardware Platforms,15124.14,6184.58,1663.02
100055,1/6/2024,North America,Edge Hardware Platforms,13885.48,5077.58,1631.86
100056,1/6/2024,North America,SaaS Subscriptions,2165.7,219.99,42.78
100057,1/6/2024,Europe,Edge Hardware Platforms,13100.83,5745.33,1678.67
100058,1/6/2024,APAC,Enterprise Cloud Software,5388.35,776.45,271.42
100059,1/6/2024,North America,SaaS Subscriptions,3629.26,396.7,71.96
100060,1/6/2024,APAC,Enterprise Cloud Software,9113.54,1421.58,422.72
100061,1/6/2024,North America,SaaS Subscriptions,6287.57,571.05,123.21
100062,1/6/2024,Europe,Edge Hardware Platforms,15017.21,5627.65,1651.01
100063,1/6/2024,Europe,Edge Hardware Platforms,11163.87,4836.38,1324.22
100064,1/7/2024,Europe,Edge Hardware Platforms,15598.68,6807.1,1960.9
100065,1/7/2024,Europe,Edge Hardware Platforms,18392,6985.62,2143.47
100066,1/7/2024,APAC,Enterprise Cloud Software,6160.73,840.2,279.74
100067,1/7/2024,APAC,Edge Hardware Platforms,19483.48,7166.54,2334.1
100068,1/7/2024,Europe,Enterprise Cloud Software,9338.52,1372.34,477.74
100069,1/7/2024,Europe,Enterprise Cloud Software,8746.13,1344.94,437.58
100070,1/7/2024,APAC,Edge Hardware Platforms,13258.69,4847.98,1636.36
100071,1/7/2024,North America,Edge Hardware Platforms,28804.6,11695.76,3379.24
100072,1/7/2024,Europe,Edge Hardware Platforms,20912.34,9103.5,2452.32
100073,1/7/2024,APAC,SaaS Subscriptions,3174.75,290.13,58.43
100074,1/8/2024,North America,Edge Hardware Platforms,16731.08,6900.86,1961.71
100075,1/8/2024,Europe,Edge Hardware Platforms,15213.89,6080.73,1896.1
100076,1/8/2024,North America,SaaS Subscriptions,2235.12,219.84,48.88
100077,1/8/2024,Europe,Edge Hardware Platforms,21370.41,8677.97,2683.26
100078,1/8/2024,North America,Enterprise Cloud Software,10805.44,1739.82,546.96
100079,1/8/2024,North America,Edge Hardware Platforms,24798.18,9399.97,2903.01
100080,1/9/2024,Europe,SaaS Subscriptions,3920.3,423.04,76.67
100081,1/9/2024,North America,SaaS Subscriptions,2547.72,245.57,55.54
100082,1/9/2024,APAC,Edge Hardware Platforms,22636.74,8961.33,2604.06
100083,1/9/2024,North America,Edge Hardware Platforms,25047.49,10603.26,3179.8
100084,1/9/2024,North America,Edge Hardware Platforms,11151.18,4504.66,1322.49
100085,1/10/2024,Europe,Edge Hardware Platforms,29373.04,12191.06,3762.31
100086,1/10/2024,APAC,SaaS Subscriptions,4556.55,430.37,89.25
100087,1/10/2024,APAC,Enterprise Cloud Software,10133.26,1438.89,514.9
100088,1/10/2024,APAC,SaaS Subscriptions,3420.11,369.9,69.66
100089,1/10/2024,North America,Edge Hardware Platforms,19633.34,7661.7,2452.64
100090,1/10/2024,North America,Edge Hardware Platforms,18689.04,7107.34,2200.16
100091,1/10/2024,Europe,Edge Hardware Platforms,25343.9,10792.02,3189.81
100092,1/10/2024,Europe,Enterprise Cloud Software,9002.23,1344.32,412.56
100093,1/10/2024,Europe,Edge Hardware Platforms,26042.18,11412.52,3160.07
100094,1/10/2024,North America,Enterprise Cloud Software,14246.43,2316.09,677.13
100095,1/10/2024,Europe,Enterprise Cloud Software,6662.15,942.72,319.42
100096,1/11/2024,Europe,Edge Hardware Platforms,28023.16,10190.22,3215.46
100097,1/11/2024,APAC,SaaS Subscriptions,4733.94,484.77,90.46
100098,1/11/2024,North America,Edge Hardware Platforms,17067.04,6941.04,1875.08
100099,1/11/2024,APAC,SaaS Subscriptions,6188.97,623.36,119.06
100100,1/11/2024,APAC,Edge Hardware Platforms,13252.34,5736.6,1692.87
100101,1/12/2024,Europe,Edge Hardware Platforms,28383.53,10405.97,3662.61
100102,1/12/2024,Europe,Enterprise Cloud Software,9112.55,1442.77,453.84
100103,1/12/2024,APAC,Edge Hardware Platforms,24991.57,9782.68,3196.42
100104,1/12/2024,Europe,Enterprise Cloud Software,5368.22,746.27,242.3
100105,1/12/2024,North America,Edge Hardware Platforms,20686.93,8688.36,2687.56
100106,1/12/2024,Europe,Edge Hardware Platforms,25141.62,9810.97,2860.77
100107,1/13/2024,North America,SaaS Subscriptions,5637.05,533.11,116.61
100108,1/13/2024,Europe,Edge Hardware Platforms,12271.15,5076.89,1478.52
100109,1/13/2024,APAC,Edge Hardware Platforms,27043.63,10929.75,3284.79
100110,1/13/2024,APAC,Edge Hardware Platforms,12680.3,4594.11,1599.28
100111,1/13/2024,Europe,Edge Hardware Platforms,14259.28,5288.91,1544.98
100112,1/13/2024,North America,Edge Hardware Platforms,17844.88,7048.69,2314.48
100113,1/13/2024,North America,Edge Hardware Platforms,25673.06,10056.74,3155.99
100114,1/13/2024,APAC,SaaS Subscriptions,2882.44,312.84,57.56
100115,1/13/2024,North America,Edge Hardware Platforms,29600.65,11822.78,3430.42
100116,1/13/2024,Europe,Enterprise Cloud Software,5758.63,799.68,266.51
100117,1/13/2024,North America,Enterprise Cloud Software,11408.75,1602.43,552.83
100118,1/13/2024,APAC,Edge Hardware Platforms,23351.15,8728.32,2629.69
100119,1/13/2024,North America,Enterprise Cloud Software,7785.9,1092.44,357.27
100120,1/14/2024,Europe,Edge Hardware Platforms,27884.35,10325.57,3232.42
100121,1/14/2024,North America,Enterprise Cloud Software,9811.45,1526.99,491.72
100122,1/14/2024,North America,Edge Hardware Platforms,10051.9,4316.93,1105.99
100123,1/14/2024,Europe,SaaS Subscriptions,5219.54,566.22,98.88
100124,1/14/2024,APAC,Edge Hardware Platforms,24410.32,8909.46,2722.87
100125,1/15/2024,Europe,SaaS Subscriptions,5070.06,510.26,93.43
100126,1/15/2024,Europe,Edge Hardware Platforms,14849.41,5665.64,1738.2
100127,1/15/2024,North America,Edge Hardware Platforms,14228.96,5495.22,1577.63
100128,1/15/2024,APAC,Edge Hardware Platforms,23582.05,9978.36,2828.96
100129,1/15/2024,North America,Edge Hardware Platforms,21736.82,9121.53,2572.77
100130,1/15/2024,North America,Enterprise Cloud Software,8630.82,1332.4,437.65
100131,1/15/2024,North America,SaaS Subscriptions,5634.65,533.85,103.72
100132,1/16/2024,North America,Edge Hardware Platforms,27016.35,9915.84,3440.28
100133,1/16/2024,North America,SaaS Subscriptions,2309.81,208.73,48.02
